958,mbar,(hPa;,28.29,inHg)
937,mbar,(hPa;,27.67,inHg)
934,mbar,(hPa;,27.58,inHg)
938,mbar,(hPa;,27.70,inHg)
944,mbar,(hPa;,27.88,inHg)
938,mbar,(hPa;,27.70,inHg)
945,mbar,(hPa;,27.91,inHg)
947,mbar,(hPa;,27.96,inHg)
948,mbar,(hPa;,27.99,inHg)
930,mbar,(hPa;,27.46,inHg)
950,mbar,(hPa;,28.05,inHg)
930,mbar,(hPa;,27.46,inHg)
945,mbar,(hPa;,27.91,inHg)
927,mbar,(hPa;,27.73,inHg)
948,mbar,(hPa;,27.99,inHg)
933,mbar,(hPa;,27.55,inHg)
938,mbar,(hPa;,27.70,inHg)
942,mbar,(hPa;,27.82,inHg)
945,mbar,(hPa;,27.91,inHg)
941,mbar,(hPa;,27.79,inHg)
942,mbar,(hPa;,27.82,inHg)
929,mbar,(hPa;,27.43,inHg)
928,mbar,(hPa;,27.40,inHg)
939,mbar,(hPa;,27.73,inHg)
956,mbar,(hPa;,28.23,inHg)
947,mbar,(hPa;,27.96,inHg)
943,mbar,(hPa;,27.85,inHg)
946,mbar,(hPa;,27.94,inHg)
950,mbar,(hPa;,28.05,inHg)
949,mbar,(hPa;,28.02,inHg)
919,mbar,(hPa;,27.14,inHg)
938,mbar,(hPa;,27.70,inHg)
932,mbar,(hPa;,27.52,inHg)
937,mbar,(hPa;,27.67,inHg)
944,mbar,(hPa;,27.88,inHg)
929,mbar,(hPa;,27.43,inHg)
935,mbar,(hPa;,27.61,inHg)
916,mbar,(hPa;,27.05,inHg)
933,mbar,(hPa;,27.55,inHg)
935,mbar,(hPa;,27.61,inHg)
937,mbar,(hPa;,27.67,inHg)
944,mbar,(hPa;,27.88,inHg)
942,mbar,(hPa;,27.81,inHg)
921,mbar,(hPa;,27.2,inHg)
930,mbar,(hPa;,27.46,inHg)
933,mbar,(hPa;,27.55,inHg)
943,mbar,(hPa;,27.85,inHg)
939,mbar,(hPa;,27.73,inHg)
948,mbar,(hPa;,27.99,inHg)
933,mbar,(hPa;,27.55,inHg)
938,mbar,(hPa;,27.70,inHg)
939,mbar,(hPa;,27.73,inHg)
941,mbar,(hPa;,27.79,inHg)
935,mbar,(hPa;,27.61,inHg)
938,mbar,(hPa;,27.70,inHg)
930,mbar,(hPa;,27.46,inHg)
941,mbar,(hPa;,27.79,inHg)
935,mbar,(hPa;,27.61,inHg)
958,mbar,(hPa;,28.29,inHg)
944,mbar,(hPa;,27.88,inHg)
943,mbar,(hPa;,27.85,inHg)
942,mbar,(hPa;,27.82,inHg)
927,mbar,(hPa;,27.37,inHg)
924,mbar,(hPa;,27.29,inHg)
948,mbar,(hPa;,27.99,inHg)
942,mbar,(hPa;,27.82,inHg)
940,mbar,(hPa;,27.76,inHg)
940,mbar,(hPa;,27.76,inHg)
931,mbar,(hPa;,27.64,inHg)
950,mbar,(hPa;,28.05,inHg)
937,mbar,(hPa;,27.67,inHg)
938,mbar,(hPa;,27.70,inHg)
937,mbar,(hPa;,27.67,inHg)
937,mbar,(hPa;,27.67,inHg)
945,mbar,(hPa;,27.91,inHg)
953,mbar,(hPa;,28.14,inHg)
923,mbar,(hPa;,27.26,inHg)
917,mbar,(hPa;,27.08,inHg)
929,mbar,(hPa;,27.43,inHg)

